date,RaceData01_time,area,race_no,umaban,horse_name,y_pred_value,y_pred_rank,odds_2,y_pred_value_race_rank,race_id
2022-11-19,09:50発走,福島,1,2,ユアフラッシュ,72.47198363741819,1.0,11.0,1.0,202203030501
2022-11-19,09:50発走,福島,1,13,シゲルミライ,62.6954297242181,2.0,4.0,1.0,202203030501
2022-11-19,09:50発走,福島,1,10,サイモンコーラル,60.903340632887385,3.0,7.9,1.0,202203030501
2022-11-19,09:50発走,福島,1,9,ブレードランナー,59.59349101410769,4.0,6.5,1.0,202203030501
2022-11-19,09:50発走,福島,1,7,シャイナライ,53.03399053253704,5.0,18.0,1.0,202203030501
2022-11-19,09:50発走,福島,1,12,アギレラビーム,49.73595110433941,6.0,73.5,1.0,202203030501
2022-11-19,09:50発走,福島,1,4,キタサンポエム,48.83715405608546,7.0,6.3,1.0,202203030501
2022-11-19,09:50発走,福島,1,3,カーメルビーチ,47.45468169375897,8.0,35.4,1.0,202203030501
2022-11-19,09:50発走,福島,1,14,シャンデル,45.24235564421778,9.0,5.4,1.0,202203030501
2022-11-19,09:50発走,福島,1,11,ラヴァンドラ,44.656533138199556,10.0,27.3,1.0,202203030501
2022-11-19,09:50発走,福島,1,5,スギノケルピー,44.20796617628383,11.0,8.0,1.0,202203030501
2022-11-19,09:50発走,福島,1,6,ローマコンクリート,43.14894099615704,12.0,29.0,1.0,202203030501
2022-11-19,09:50発走,福島,1,15,ロハ,42.56640184223032,13.0,38.2,1.0,202203030501
2022-11-19,09:50発走,福島,1,8,キーオブハート,38.68670465026126,14.0,30.8,1.0,202203030501
2022-11-19,09:50発走,福島,1,1,カリーナアンジェロ,36.765075157298064,15.0,18.0,1.0,202203030501
2022-11-19,09:55発走,東京,1,12,メイデンタワー,66.80433038230728,1.0,2.3,1.0,202205050501
2022-11-19,09:55発走,東京,1,3,ニジュウダンサー,66.55802600221597,2.0,2.4,1.0,202205050501
2022-11-19,09:55発走,東京,1,5,アヴェッリーノ,60.05909340767792,3.0,11.8,1.0,202205050501
2022-11-19,09:55発走,東京,1,15,テイエムスイスイ,59.2530037851179,4.0,10.9,1.0,202205050501
2022-11-19,09:55発走,東京,1,10,ダイシンカタナ,55.35190726090447,5.0,29.0,1.0,202205050501
2022-11-19,09:55発走,東京,1,16,ヨロ,53.761396310042144,6.0,30.4,1.0,202205050501
2022-11-19,09:55発走,東京,1,9,リッチハンター,52.62899569463238,7.0,10.1,1.0,202205050501
2022-11-19,09:55発走,東京,1,2,キタノマーベラス,50.25078613290763,8.0,108.7,1.0,202205050501
2022-11-19,09:55発走,東京,1,8,ケンキョ,49.330531848494346,9.0,347.6,1.0,202205050501
2022-11-19,09:55発走,東京,1,13,アクティビティ,46.9130195807204,10.0,20.5,1.0,202205050501
2022-11-19,09:55発走,東京,1,1,キリシマラッキー,43.201992707837064,11.0,92.7,1.0,202205050501
2022-11-19,09:55発走,東京,1,11,テリオスノア,41.96095661847353,12.0,29.0,1.0,202205050501
2022-11-19,09:55発走,東京,1,7,ワイワイスマイル,40.498064378548605,13.0,27.7,1.0,202205050501
2022-11-19,09:55発走,東京,1,6,ニシノリンドウ,38.73913615590408,14.0,92.7,1.0,202205050501
2022-11-19,09:55発走,東京,1,14,ミストラヴィアータ,37.85690579896547,15.0,58.5,1.0,202205050501
2022-11-19,09:55発走,東京,1,4,タマモガーベラ,36.83185393525071,16.0,92.7,1.0,202205050501
2022-11-19,10:05発走,阪神,1,3,レゾルシオン,67.36042592058571,1.0,2.3,3.0,202209050501
2022-11-19,10:05発走,阪神,1,8,グッジョブ,64.29507790965718,2.0,19.0,3.0,202209050501
2022-11-19,10:05発走,阪神,1,12,キングオブザナイル,61.90158349443776,3.0,10.0,3.0,202209050501
2022-11-19,10:05発走,阪神,1,13,ライヴリー,60.16723008121059,4.0,25.2,3.0,202209050501
2022-11-19,10:05発走,阪神,1,9,モズスナイパー,55.54535268216283,5.0,21.2,3.0,202209050501
2022-11-19,10:05発走,阪神,1,14,マーブルロック,53.17667077297361,6.0,11.2,3.0,202209050501
