division,date,RaceData01_time,area,race_id,race_no,y_pred_value
center,2023-08-13,10:00発走,小倉,202310030201,1,68.55067178556725
center,2023-08-13,10:20発走,札幌,202301020202,2,63.56147721227215
center,2023-08-13,10:30発走,小倉,202310030202,2,64.17988880349493
center,2023-08-13,10:40発走,新潟,202304030202,2,64.34095634243693
center,2023-08-13,10:50発走,札幌,202301020203,3,64.25073925477115
center,2023-08-13,11:00発走,小倉,202310030203,3,66.79492053226267
center,2023-08-13,11:10発走,新潟,202304030203,3,62.97574808444554
center,2023-08-13,11:20発走,札幌,202301020204,4,59.281783327276145
center,2023-08-13,11:30発走,小倉,202310030204,4,66.89617173864734
center,2023-08-13,11:40発走,新潟,202304030204,4,67.78037528396312
center,2023-08-13,12:40発走,札幌,202301020206,6,66.74831575097835
center,2023-08-13,13:00発走,新潟,202304030206,6,66.47862159465737
center,2023-08-13,13:10発走,札幌,202301020207,7,67.86921659818942
center,2023-08-13,14:00発走,新潟,202304030208,8,67.08995785250023
center,2023-08-13,14:15発走,札幌,202301020209,9,66.72035179284165
center,2023-08-13,14:25発走,小倉,202310030209,9,64.99128651809951
center,2023-08-13,14:35発走,新潟,202304030209,9,64.11980535278204
center,2023-08-13,14:50発走,札幌,202301020210,10,61.90373432737299
center,2023-08-13,15:00発走,小倉,202310030210,10,66.31689024277485
center,2023-08-13,15:10発走,新潟,202304030210,10,64.52104147293178
center,2023-08-13,15:25発走,札幌,202301020211,11,61.00754797260227
center,2023-08-13,15:35発走,小倉,202310030211,11,61.60800508917501
center,2023-08-13,15:45発走,新潟,202304030211,11,64.6857181436663
center,2023-08-13,16:05発走,札幌,202301020212,12,68.50485709024272
center,2023-08-13,16:15発走,小倉,202310030212,12,67.03085374655208
center,2023-08-13,16:30発走,新潟,202304030212,12,62.93774157672314
region,2023-08-13,12:05発走,盛岡,202335081301,1,73.43405577494818
region,2023-08-13,13:50発走,盛岡,202335081304,4,67.61050377428884
region,2023-08-13,14:25発走,盛岡,202335081305,5,63.593044604590574
region,2023-08-13,15:00発走,盛岡,202335081306,6,74.49965071370704
region,2023-08-13,15:15発走,大井,202344081301,1,67.92765270471656
region,2023-08-13,15:35発走,盛岡,202335081307,7,63.98943680130837
region,2023-08-13,15:50発走,大井,202344081302,2,68.98707677502087
region,2023-08-13,15:50発走,高知,202354081303,3,65.21571303532372
region,2023-08-13,16:10発走,盛岡,202335081308,8,64.18328442606875
region,2023-08-13,16:20発走,高知,202354081304,4,65.82943552886802
region,2023-08-13,16:25発走,大井,202344081303,3,76.9025585103141
region,2023-08-13,16:35発走,佐賀,202355081303,3,68.12204950014963
region,2023-08-13,16:50発走,盛岡,202335081309,9,63.568203870558264
region,2023-08-13,16:55発走,高知,202354081305,5,66.94031114321072
region,2023-08-13,17:10発走,佐賀,202355081304,4,66.12719528681606
region,2023-08-13,17:25発走,高知,202354081306,6,62.48338693987995
region,2023-08-13,17:30発走,盛岡,202335081310,10,61.31648644441872
region,2023-08-13,17:35発走,大井,202344081305,5,69.55091070843386
region,2023-08-13,17:40発走,佐賀,202355081305,5,67.03145640038554
region,2023-08-13,18:00発走,高知,202354081307,7,68.69930496286115
region,2023-08-13,18:05発走,盛岡,202335081311,11,59.266882579300315
region,2023-08-13,18:10発走,大井,202344081306,6,66.67520410152189
region,2023-08-13,18:15発走,佐賀,202355081306,6,62.79763596595713
region,2023-08-13,18:30発走,高知,202354081308,8,71.99222693843636
region,2023-08-13,18:50発走,佐賀,202355081307,7,64.03470646802374
region,2023-08-13,18:50発走,大井,202344081307,7,60.17510294903266
region,2023-08-13,19:05発走,高知,202354081309,9,67.74738974280868
region,2023-08-13,19:20発走,佐賀,202355081308,8,63.44285255639181
region,2023-08-13,19:30発走,大井,202344081308,8,65.29654294879968
region,2023-08-13,19:40発走,高知,202354081310,10,69.41380505003342
region,2023-08-13,19:50発走,佐賀,202355081309,9,58.52003199305112
region,2023-08-13,20:10発走,大井,202344081309,9,67.81756907997074
region,2023-08-13,20:15発走,高知,202354081311,11,69.8681434750894
region,2023-08-13,20:20発走,佐賀,202355081310,10,65.71356691478995
region,2023-08-13,20:45発走,高知,202354081312,12,67.25196874569258
region,2023-08-13,20:50発走,佐賀,202355081311,11,67.76790240005352
region,2023-08-13,20:50発走,大井,202344081310,10,64.36626816388595
region,2023-08-14,11:50発走,盛岡,202335081401,1,69.53702583026057
region,2023-08-14,12:10発走,浦和,202342081401,1,66.63359737383391
region,2023-08-14,12:20発走,盛岡,202335081402,2,62.00555712631227
region,2023-08-14,12:40発走,浦和,202342081402,2,68.92555222289063
region,2023-08-14,14:00発走,盛岡,202335081405,5,67.83353201475083
region,2023-08-14,14:10発走,浦和,202342081405,5,69.15878047150989
region,2023-08-14,14:35発走,盛岡,202335081406,6,72.07688008826594
region,2023-08-14,14:40発走,浦和,202342081406,6,64.41425867430453
region,2023-08-14,15:05発走,金沢,202346081406,6,66.92740862142392
region,2023-08-14,15:15発走,浦和,202342081407,7,66.36656666040003
region,2023-08-14,15:30発走,大井,202344081401,1,67.6937171404687
region,2023-08-14,15:40発走,金沢,202346081407,7,64.3920809913622
region,2023-08-14,15:50発走,浦和,202342081408,8,64.92093151141059
region,2023-08-14,16:05発走,大井,202344081402,2,62.88611387680734
region,2023-08-14,16:15発走,金沢,202346081408,8,61.90419009366825
region,2023-08-14,16:20発走,盛岡,202335081409,9,63.80610646052192
region,2023-08-14,16:25発走,浦和,202342081409,9,65.30058486383794
region,2023-08-14,16:40発走,大井,202344081403,3,66.65922591986582
region,2023-08-14,16:55発走,盛岡,202335081410,10,60.293988710964804
region,2023-08-14,17:00発走,浦和,202342081410,10,66.66280690489305
region,2023-08-14,17:15発走,大井,202344081404,4,66.74321306205293
region,2023-08-14,17:30発走,盛岡,202335081411,11,64.06017749116737
